,Unnamed: 0.1,Unnamed: 0,filepaths,pipelines,groups,contrast
41,241,241,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,109,right-hand
42,252,252,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-109_right-hand_spm-5-0-0_con.nii,spm-5-0-0,109,right-hand
45,265,265,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,10,right-hand
46,276,276,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-10_right-hand_spm-5-0-0_con.nii,spm-5-0-0,10,right-hand
49,289,313,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,111,right-hand
50,300,324,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-111_right-hand_spm-5-0-0_con.nii,spm-5-0-0,111,right-hand
53,313,409,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,115,right-hand
54,324,420,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-115_right-hand_spm-5-0-0_con.nii,spm-5-0-0,115,right-hand
57,337,433,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,116,right-hand
58,348,444,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-116_right-hand_spm-5-0-0_con.nii,spm-5-0-0,116,right-hand
61,361,457,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,117,right-hand
62,372,468,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-117_right-hand_spm-5-0-0_con.nii,spm-5-0-0,117,right-hand
65,385,529,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,11,right-hand
66,396,540,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-11_right-hand_spm-5-0-0_con.nii,spm-5-0-0,11,right-hand
69,409,553,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,120,right-hand
70,420,564,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-120_right-hand_spm-5-0-0_con.nii,spm-5-0-0,120,right-hand
73,433,577,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,121,right-hand
74,444,588,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-121_right-hand_spm-5-0-0_con.nii,spm-5-0-0,121,right-hand
77,457,625,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,123,right-hand
78,468,636,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-123_right-hand_spm-5-0-0_con.nii,spm-5-0-0,123,right-hand
81,481,649,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,124,right-hand
82,492,660,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-124_right-hand_spm-5-0-0_con.nii,spm-5-0-0,124,right-hand
85,505,673,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,125,right-hand
86,516,684,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-125_right-hand_spm-5-0-0_con.nii,spm-5-0-0,125,right-hand
89,529,697,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,126,right-hand
90,540,708,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-126_right-hand_spm-5-0-0_con.nii,spm-5-0-0,126,right-hand
93,553,721,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,127,right-hand
94,564,732,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-127_right-hand_spm-5-0-0_con.nii,spm-5-0-0,127,right-hand
97,577,817,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,130,right-hand
98,588,828,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-130_right-hand_spm-5-0-0_con.nii,spm-5-0-0,130,right-hand
101,601,841,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,131,right-hand
102,612,852,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-131_right-hand_spm-5-0-0_con.nii,spm-5-0-0,131,right-hand
105,625,865,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,132,right-hand
106,636,876,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-132_right-hand_spm-5-0-0_con.nii,spm-5-0-0,132,right-hand
109,649,889,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,133,right-hand
110,660,900,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-133_right-hand_spm-5-0-0_con.nii,spm-5-0-0,133,right-hand
113,673,913,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,134,right-hand
114,684,924,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-134_right-hand_spm-5-0-0_con.nii,spm-5-0-0,134,right-hand
117,697,985,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-137_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,137,right-hand
118,708,996,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-137_right-hand_spm-5-0-0_con.nii,spm-5-0-0,137,right-hand
121,721,1009,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-138_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,138,right-hand
122,732,1020,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-138_right-hand_spm-5-0-0_con.nii,spm-5-0-0,138,right-hand
125,745,1033,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-139_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,139,right-hand
126,756,1044,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-139_right-hand_spm-5-0-0_con.nii,spm-5-0-0,139,right-hand
129,769,1057,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-13_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,13,right-hand
130,780,1068,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-13_right-hand_spm-5-0-0_con.nii,spm-5-0-0,13,right-hand
133,793,1081,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-140_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,140,right-hand
134,804,1092,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-140_right-hand_spm-5-0-0_con.nii,spm-5-0-0,140,right-hand
137,817,1105,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-141_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,141,right-hand
138,828,1116,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-141_right-hand_spm-5-0-0_con.nii,spm-5-0-0,141,right-hand
141,841,1129,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-142_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,142,right-hand
142,852,1140,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-142_right-hand_spm-5-0-0_con.nii,spm-5-0-0,142,right-hand
145,865,1153,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-143_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,143,right-hand
146,876,1164,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-143_right-hand_spm-5-0-0_con.nii,spm-5-0-0,143,right-hand
149,889,1177,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-144_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,144,right-hand
150,900,1188,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-144_right-hand_spm-5-0-0_con.nii,spm-5-0-0,144,right-hand
153,913,1225,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-146_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,146,right-hand
154,924,1236,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-146_right-hand_spm-5-0-0_con.nii,spm-5-0-0,146,right-hand
157,937,1249,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-147_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,147,right-hand
158,948,1260,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-147_right-hand_spm-5-0-0_con.nii,spm-5-0-0,147,right-hand
161,961,1297,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-149_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,149,right-hand
162,972,1308,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-149_right-hand_spm-5-0-0_con.nii,spm-5-0-0,149,right-hand
165,985,1345,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-150_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,150,right-hand
166,996,1356,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-150_right-hand_spm-5-0-0_con.nii,spm-5-0-0,150,right-hand
169,1009,1369,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-151_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,151,right-hand
170,1020,1380,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-151_right-hand_spm-5-0-0_con.nii,spm-5-0-0,151,right-hand
173,1033,1417,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-153_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,153,right-hand
174,1044,1428,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-153_right-hand_spm-5-0-0_con.nii,spm-5-0-0,153,right-hand
177,1057,1441,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-154_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,154,right-hand
178,1068,1452,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-154_right-hand_spm-5-0-0_con.nii,spm-5-0-0,154,right-hand
181,1081,1465,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-155_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,155,right-hand
182,1092,1476,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-155_right-hand_spm-5-0-0_con.nii,spm-5-0-0,155,right-hand
185,1105,1489,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-156_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,156,right-hand
186,1116,1500,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-156_right-hand_spm-5-0-0_con.nii,spm-5-0-0,156,right-hand
189,1129,1513,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-157_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,157,right-hand
190,1140,1524,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-157_right-hand_spm-5-0-0_con.nii,spm-5-0-0,157,right-hand
193,1153,1561,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-159_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,159,right-hand
194,1164,1572,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-159_right-hand_spm-5-0-0_con.nii,spm-5-0-0,159,right-hand
197,1177,1585,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-15_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,15,right-hand
198,1188,1596,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-15_right-hand_spm-5-0-0_con.nii,spm-5-0-0,15,right-hand
201,1201,1609,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-160_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,160,right-hand
202,1212,1620,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-160_right-hand_spm-5-0-0_con.nii,spm-5-0-0,160,right-hand
205,1225,1657,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-162_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,162,right-hand
206,1236,1668,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-162_right-hand_spm-5-0-0_con.nii,spm-5-0-0,162,right-hand
209,1249,1681,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-163_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,163,right-hand
210,1260,1692,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-163_right-hand_spm-5-0-0_con.nii,spm-5-0-0,163,right-hand
213,1273,1729,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-165_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,165,right-hand
214,1284,1740,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-165_right-hand_spm-5-0-0_con.nii,spm-5-0-0,165,right-hand
217,1297,1753,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-166_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,166,right-hand
218,1308,1764,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-166_right-hand_spm-5-0-0_con.nii,spm-5-0-0,166,right-hand
221,1321,1777,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-167_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,167,right-hand
222,1332,1788,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-167_right-hand_spm-5-0-0_con.nii,spm-5-0-0,167,right-hand
225,1345,1801,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-168_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,168,right-hand
226,1356,1812,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-168_right-hand_spm-5-0-0_con.nii,spm-5-0-0,168,right-hand
229,1369,1825,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-169_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,169,right-hand
230,1380,1836,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-169_right-hand_spm-5-0-0_con.nii,spm-5-0-0,169,right-hand
233,1393,1849,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-16_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,16,right-hand
234,1404,1860,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-16_right-hand_spm-5-0-0_con.nii,spm-5-0-0,16,right-hand
237,1417,1873,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-170_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,170,right-hand
238,1428,1884,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-170_right-hand_spm-5-0-0_con.nii,spm-5-0-0,170,right-hand
241,1441,1897,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-171_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,171,right-hand
242,1452,1908,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-171_right-hand_spm-5-0-0_con.nii,spm-5-0-0,171,right-hand
245,1465,1921,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-172_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,172,right-hand
246,1476,1932,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-172_right-hand_spm-5-0-0_con.nii,spm-5-0-0,172,right-hand
249,1489,1945,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-173_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,173,right-hand
250,1500,1956,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-173_right-hand_spm-5-0-0_con.nii,spm-5-0-0,173,right-hand
253,1513,2065,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-178_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,178,right-hand
254,1524,2076,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-178_right-hand_spm-5-0-0_con.nii,spm-5-0-0,178,right-hand
257,1537,2089,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-179_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,179,right-hand
258,1548,2100,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-179_right-hand_spm-5-0-0_con.nii,spm-5-0-0,179,right-hand
261,1561,2113,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-17_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,17,right-hand
262,1572,2124,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-17_right-hand_spm-5-0-0_con.nii,spm-5-0-0,17,right-hand
265,1585,2137,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-180_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,180,right-hand
266,1596,2148,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-180_right-hand_spm-5-0-0_con.nii,spm-5-0-0,180,right-hand
269,1609,2161,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-181_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,181,right-hand
270,1620,2172,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-181_right-hand_spm-5-0-0_con.nii,spm-5-0-0,181,right-hand
273,1633,2185,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-182_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,182,right-hand
274,1644,2196,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-182_right-hand_spm-5-0-0_con.nii,spm-5-0-0,182,right-hand
277,1657,2209,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-183_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,183,right-hand
278,1668,2220,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-183_right-hand_spm-5-0-0_con.nii,spm-5-0-0,183,right-hand
281,1681,2233,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-184_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,184,right-hand
282,1692,2244,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-184_right-hand_spm-5-0-0_con.nii,spm-5-0-0,184,right-hand
285,1705,2257,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-185_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,185,right-hand
286,1716,2268,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-185_right-hand_spm-5-0-0_con.nii,spm-5-0-0,185,right-hand
289,1729,2281,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-186_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,186,right-hand
290,1740,2292,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-186_right-hand_spm-5-0-0_con.nii,spm-5-0-0,186,right-hand
293,1753,2305,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-187_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,187,right-hand
294,1764,2316,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-187_right-hand_spm-5-0-0_con.nii,spm-5-0-0,187,right-hand
297,1777,2329,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-188_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,188,right-hand
298,1788,2340,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-188_right-hand_spm-5-0-0_con.nii,spm-5-0-0,188,right-hand
301,1801,2377,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-18_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,18,right-hand
302,1812,2388,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-18_right-hand_spm-5-0-0_con.nii,spm-5-0-0,18,right-hand
305,1825,2401,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-190_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,190,right-hand
306,1836,2412,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-190_right-hand_spm-5-0-0_con.nii,spm-5-0-0,190,right-hand
309,1849,2425,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-191_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,191,right-hand
310,1860,2436,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-191_right-hand_spm-5-0-0_con.nii,spm-5-0-0,191,right-hand
313,1873,2449,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-192_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,192,right-hand
314,1884,2460,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-192_right-hand_spm-5-0-0_con.nii,spm-5-0-0,192,right-hand
317,1897,2497,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-194_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,194,right-hand
318,1908,2508,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-194_right-hand_spm-5-0-0_con.nii,spm-5-0-0,194,right-hand
321,1921,2521,/gpfswork/rech/gft/umh25bv/hcp_many_pipelines_preprocess/normalized/group-195_right-hand_fsl-5-0-1_con.nii,fsl-5-0-1,195,right-hand
